CODE,ons_region_id,constituency_name,county_name,region_name,country_name,constituency_type,mp_firstname,mp_surname,mp_gender,result,first_party,second_party
E14000560,E12000005,"Birmingham, Edgbaston",West Midlands,West Midlands,England,Borough,Preet Kaur,Gill,Female,Lab hold,Lab,Con
E14000561,E12000005,"Birmingham, Erdington",West Midlands,West Midlands,England,Borough,Jack,Dromey,Male,Lab hold,Lab,Con
E14000562,E12000005,"Birmingham, Hall Green",West Midlands,West Midlands,England,Borough,Tahir,Ali,Male,Lab hold,Lab,Con
E14000563,E12000005,"Birmingham, Hodge Hill",West Midlands,West Midlands,England,Borough,Liam,Byrne,Male,Lab hold,Lab,Con
E14000564,E12000005,"Birmingham, Ladywood",West Midlands,West Midlands,England,Borough,Shabana,Mahmood,Female,Lab hold,Lab,Con
E14000565,E12000005,"Birmingham, Northfield",West Midlands,West Midlands,England,Borough,Gary,Sambrook,Male,Con gain from Lab,Con,Lab
E14000566,E12000005,"Birmingham, Perry Barr",West Midlands,West Midlands,England,Borough,Khalid,Mahmood,Male,Lab hold,Lab,Con
E14000567,E12000005,"Birmingham, Selly Oak",West Midlands,West Midlands,England,Borough,Stephen,McCabe,Male,Lab hold,Lab,Con
E14000568,E12000005,"Birmingham, Yardley",West Midlands,West Midlands,England,Borough,Jess,Phillips,Female,Lab hold,Lab,Con
E14000569,E12000001,Bishop Auckland,Durham,North East,England,County,Dehenna,Davison,Female,Con gain from Lab,Con,Lab
E14000570,E12000002,Blackburn,Lancashire,North West,England,Borough,Kate,Hollern,Female,Lab hold,Lab,Con
E14000571,E12000002,Blackley and Broughton,Greater Manchester,North West,England,Borough,Graham,Stringer,Male,Lab hold,Lab,Con
E14000572,E12000002,Blackpool North and Cleveleys,Lancashire,North West,England,Borough,Paul,Maynard,Male,Con hold,Con,Lab
E14000573,E12000002,Blackpool South,Lancashire,North West,England,Borough,Scott,Benton,Male,Con gain from Lab,Con,Lab
W07000072,W92000004,Blaenau Gwent,Gwent and Mid Glamorgan,Wales,Wales,County,Nick,Smith,Male,Lab hold,Lab,Brexit
E14000574,E12000001,Blaydon,Tyne and Wear,North East,England,Borough,Liz,Twist,Female,Lab hold,Lab,Con
E14000575,E12000001,Blyth Valley,Northumberland,North East,England,Borough,Ian,Levy,Male,Con gain from Lab,Con,Lab
E14000576,E12000008,Bognor Regis and Littlehampton,West Sussex,South East,England,County,Nick,Gibb,Male,Con hold,Con,Lab
E14000577,E12000004,Bolsover,Derbyshire,East Midlands,England,County,Mark,Fletcher,Male,Con gain from Lab,Con,Lab
E14000578,E12000002,Bolton North East,Greater Manchester,North West,England,Borough,Mark,Logan,Male,Con gain from Lab,Con,Lab
E14000579,E12000002,Bolton South East,Greater Manchester,North West,England,Borough,Yasmin,Qureshi,Female,Lab hold,Lab,Con
E14000580,E12000002,Bolton West,Greater Manchester,North West,England,County,Chris,Green,Male,Con hold,Con,Lab
E14000581,E12000002,Bootle,Merseyside,North West,England,Borough,Peter,Dowd,Male,Lab hold,Lab,Con
E14000582,E12000004,Boston and Skegness,Lincolnshire,East Midlands,England,County,Matt,Warman,Male,Con hold,Con,Lab
E14000583,E12000004,Bosworth,Leicestershire,East Midlands,England,County,Luke,Evans,Male,Con hold,Con,Lab
E14000584,E12000009,Bournemouth East,Dorset,South West,England,Borough,Tobias,Ellwood,Male,Con hold,Con,Lab
E14000585,E12000009,Bournemouth West,Dorset,South West,England,Borough,Conor,Burns,Male,Con hold,Con,Lab
E14000586,E12000008,Bracknell,Berkshire,South East,England,County,James,Sunderland,Male,Con hold,Con,Lab
E14000587,E12000003,Bradford East,West Yorkshire,Yorkshire and The Humber,England,Borough,Imran,Hussain,Male,Lab hold,Lab,Con
E14000588,E12000003,Bradford South,West Yorkshire,Yorkshire and The Humber,England,Borough,Judith,Cummins,Female,Lab hold,Lab,Con
E14000589,E12000003,Bradford West,West Yorkshire,Yorkshire and The Humber,England,Borough,Naz,Shah,Female,Lab hold,Lab,Con
E14000590,E12000006,Braintree,Essex,East,England,County,James,Cleverly,Male,Con hold,Con,Lab
W07000068,W92000004,Brecon and Radnorshire,Powys,Wales,Wales,County,Fay,Jones,Female,Con hold,Con,LD
E14000591,E12000007,Brent Central,London,London,England,Borough,Dawn,Butler,Female,Lab hold,Lab,Con
E14000593,E12000007,Brentford and Isleworth,London,London,England,Borough,Ruth,Cadbury,Female,Lab hold,Lab,Con
E14000592,E12000007,Brent North,London,London,England,Borough,Barry,Gardiner,Male,Lab hold,Lab,Con
